City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Alfred,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
80,Lorengau,PG,-2.0226,147.2712,79.72,80,100,11.86,light rain
81,Lagoa,PT,38.5167,-28.7,57.6,72,20,8.05,few clouds
82,Albany,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
83,Chokurdakh,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
84,Upernavik,GL,69.2167,-51.1,1.42,60,20,29.93,few clouds
85,Sentyabrskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
86,Nanakuli,US,57.0531,-135.33,37.29,93,75,4.61,mist
87,Mahebourg,MU,-20.5167,57.5167,80.98,89,75,29.93,shower rain
88,Pacific Grove,US,57.0531,-135.33,37.29,93,75,4.61,mist
89,Dudinka,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
90,Ushuaia,AR,-51.6226,-69.2181,62.65,55,75,20.71,broken clouds
91,Nyagan,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
92,Arman,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
93,Zabaykalsk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
94,Ostrovnoy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
95,Henties Bay,NA,-26.6481,15.1594,67.73,80,61,0.83,broken clouds
96,Robstown,US,57.0531,-135.33,37.29,93,75,4.61,mist
97,Bambous Virieux,MU,-20.5167,57.5167,80.98,89,75,29.93,shower rain
98,Peniche,PT,38.5167,-28.7,57.6,72,20,8.05,few clouds
99,Avarua,CK,-21.2078,-159.775,82.45,78,75,17.27,broken clouds
100,Frederico Westphalen,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
101,Vaini,TO,-21.2,-175.2,84.36,79,40,5.75,scattered clouds
102,Thurso,GB,50.9188,-1.4904,50.07,79,75,1.99,broken clouds
103,Norman Wells,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
104,Pallasovka,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
105,Jamestown,MY,5.4112,100.3354,80.53,88,20,2.3,few clouds
106,Priladozhskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
107,Burnie,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
108,Yulara,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
109,Indi,IN,17.1667,75.9667,76.33,28,6,8.08,clear sky
110,Omsukchan,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
111,Gogrial,SS,8.5332,28.1004,79.56,20,41,2.89,scattered clouds
112,Clifton Springs,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
113,Tres Arroyos,AR,-51.6226,-69.2181,62.65,55,75,20.71,broken clouds
114,Lanxi,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
115,Hithadhoo,MV,-0.6,73.0833,82.13,70,81,6.62,broken clouds
116,Tuktoyaktuk,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
117,Naze,JP,28.3667,129.4833,57.49,91,100,13.0,overcast clouds
118,Lishui,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
119,Cidreira,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
